cameraID,frameID,points
A000001,A00000128043829839,"[((144, 109), (153, 59))]"
A000001,A00000128043832589,"[((147, 55), (118, 61))]"
A000001,A00000128043833130,"[((140, 129), (145, 56))]"
A000001,A00000128043834238,"[((140, 126), (145, 56)), ((140, 126), (118, 62)), ((140, 126), (139, 59)), ((145, 56), (118, 62)), ((145, 56), (139, 59)), ((118, 62), (139, 59))]"
A000001,A00000128043834787,"[((139, 132), (140, 62)), ((139, 132), (118, 62)), ((139, 132), (144, 55)), ((140, 62), (118, 62)), ((140, 62), (144, 55)), ((118, 62), (144, 55))]"
A000001,A00000128043835330,"[((139, 135), (50, 223)), ((139, 135), (139, 62)), ((139, 135), (118, 63)), ((50, 223), (139, 62)), ((50, 223), (118, 63)), ((139, 62), (118, 63))]"
A000001,A00000128043835891,"[((139, 133), (144, 57)), ((139, 133), (51, 223)), ((139, 133), (140, 62)), ((144, 57), (51, 223)), ((144, 57), (140, 62)), ((51, 223), (140, 62))]"
A000001,A00000128043836450,"[((138, 131), (52, 219)), ((138, 131), (144, 60)), ((52, 219), (144, 60))]"
